E xs
0.0002125 1259
0.0002402 1223
0.000269 1188
0.0003012 1090
0.0003373 971.6
0.0003812 853.6
0.0004269 749.9
0.000478 658.8
0.0005352 578.8
0.0006049 530.9
0.0008493 349.7
0.000951 302.9
0.001075 266.1
0.001204 244.1
0.001348 205.4
0.001509 177.8
0.00169 156.2
0.00191 133.4
0.002139 117.2
0.002395 100
0.002681 89.12
0.003031 74.99
0.003362 70.79
0.0038 60.43
0.004255 54.64
0.004765 52.33
0.005335 45.97
0.006031 40.97
0.006753 34.97
0.007561 33.5
0.008466 30.73
0.00948 26.23
0.01062 25.85
0.012 23.04
0.01344 23.71
0.01504 24.76
0.017 21.13
0.01904 15.85
0.02132 25.12
0.02387 20.83
0.02673 15.4
0.03021 16.08
0.03383 17.53
0.03788 14.75
0.04242 9.716
0.0475 6.78
0.05318 13.92
0.06012 10.9
0.06731 14.13
0.07537 27.78
0.0844 12.41
0.0954 10.9

